Probe Set ID	Gene Symbol	Gene Title	Entrez Gene
TC05001059.hg.1	NA	NA	NA
TC05001060.hg.1	NA	NA	NA
TC05001061.hg.1	CNOT6	CCR4-NOT transcription complex, subunit 6	57472
TC05001062.hg.1	LOC100652782	uncharacterized LOC100652782	100652782
TC05001063.hg.1	NA	NA	NA
TC05001064.hg.1	NA	NA	NA
TC05001065.hg.1	NA	NA	NA
TC05001066.hg.1	LOC729678	uncharacterized LOC729678	729678
TC05001067.hg.1	BTNL8	butyrophilin-like 8	79908
TC05001068.hg.1	NA	NA	NA
TC05001069.hg.1	BTNL3	butyrophilin-like 3	10917
TC05001070.hg.1	NA	NA	NA
TC05001071.hg.1	BTNL9	butyrophilin-like 9	153579
TC05001072.hg.1	NA	NA	NA
TC05001073.hg.1	NA	NA	NA
TC05001074.hg.1	OR2V2	olfactory receptor, family 2, subfamily V, member 2	285659
TC05001075.hg.1	NA	NA	NA
TC05001076.hg.1	NA	NA	NA
TC05001077.hg.1	NA	NA	NA
TC05001078.hg.1	NA	NA	NA
TC05001079.hg.1	NA	NA	NA
TC05001080.hg.1	LOC100507546	uncharacterized LOC100507546	100507546
TC05001081.hg.1	NA	NA	NA
TC05001082.hg.1	NA	NA	NA
TC05001083.hg.1	TRIM41	tripartite motif containing 41	90933
TC05001085.hg.1	NA	NA	NA
TC05001087.hg.1	NA	NA	NA
TC05001089.hg.1	NA	NA	NA
TC05001090.hg.1	NA	NA	NA
TC05001091.hg.1	NA	NA	NA
TC05001092.hg.1	CCDC127	coiled-coil domain containing 127	133957
TC05001093.hg.1	NA	NA	NA
TC05001094.hg.1	C5orf55	chromosome 5 open reading frame 55	116349
TC05001095.hg.1	PP7080	uncharacterized LOC25845	25845
TC05001096.hg.1	SLC9A3	solute carrier family 9 (sodium/hydrogen exchanger), member 3	6550
TC05001097.hg.1	MIR4456	microRNA 4456	100616381
TC05001098.hg.1	NA	NA	NA
TC05001099.hg.1	TPPP	tubulin polymerization promoting protein	11076
TC05001101.hg.1	LOC100506688	uncharacterized protein LOC100506688	100506688
TC05001102.hg.1	SLC12A7	solute carrier family 12 (potassium/chloride transporters), member 7	10723
TC05001103.hg.1	MIR4635	microRNA 4635	100616479
TC05001104.hg.1	NA	NA	NA
TC05001105.hg.1	TERT	telomerase reverse transcriptase	7015
TC05001106.hg.1	MIR4457	microRNA 4457	100616235
TC05001107.hg.1	CLPTM1L	CLPTM1-like	81037
TC05001108.hg.1	LOC100506791	uncharacterized LOC100506791	100506791
TC05001109.hg.1	SLC6A3	solute carrier family 6 (neurotransmitter transporter, dopamine), member 3	6531
TC05001110.hg.1	LPCAT1	lysophosphatidylcholine acyltransferase 1	79888
TC05001111.hg.1	NA	NA	NA
TC05001112.hg.1	SDHAP3	succinate dehydrogenase complex, subunit A, flavoprotein pseudogene 3	728609
TC05001113.hg.1	LOC728613	programmed cell death 6 pseudogene	728613
TC05001114.hg.1	MIR4277	microRNA 4277	100422966
TC05001115.hg.1	MRPL36	mitochondrial ribosomal protein L36	64979
TC05001116.hg.1	NA	NA	NA
TC05001117.hg.1	IRX4	iroquois homeobox 4	50805
TC05001118.hg.1	NA	NA	NA
TC05001119.hg.1	NA	NA	NA
TC05001120.hg.1	IRX2	iroquois homeobox 2	153572
TC05001121.hg.1	NA	NA	NA
TC05001122.hg.1	LOC285577	uncharacterized LOC285577	285577
TC05001123.hg.1	NA	NA	NA
TC05001124.hg.1	NA	NA	NA
TC05001125.hg.1	NA	NA	NA
TC05001126.hg.1	NA	NA	NA
TC05001127.hg.1	NA	NA	NA
TC05001128.hg.1	NA	NA	NA
TC05001129.hg.1	NA	NA	NA
TC05001130.hg.1	NA	NA	NA
TC05001131.hg.1	NA	NA	NA
TC05001132.hg.1	NA	NA	NA
TC05001133.hg.1	NA	NA	NA
TC05001134.hg.1	NA	NA	NA
TC05001135.hg.1	NA	NA	NA
TC05001136.hg.1	FLJ33360	FLJ33360 protein	401172
TC05001137.hg.1	MED10	mediator complex subunit 10	84246
TC05001138.hg.1	NSUN2	NOP2/Sun domain family, member 2	54888
TC05001139.hg.1	NA	NA	NA
TC05001140.hg.1	MIR4278	microRNA 4278	100422999
TC05001141.hg.1	NA	NA	NA
TC05001142.hg.1	MIR4454	microRNA 4454	100616234
TC05001143.hg.1	LOC442132	golgin A6 family-like 1 pseudogene	442132
TC05001144.hg.1	NA	NA	NA
TC05001145.hg.1	NA	NA	NA
TC05001146.hg.1	NA	NA	NA
TC05001147.hg.1	NA	NA	NA
TC05001148.hg.1	C5orf49	chromosome 5 open reading frame 49	134121
TC05001149.hg.1	FASTKD3	FAST kinase domains 3	79072
TC05001150.hg.1	LOC729506	uncharacterized LOC729506	729506
TC05001151.hg.1	SEMA5A	sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5A	9037
TC05001152.hg.1	MIR4636	microRNA 4636	100616326
TC05001153.hg.1	NA	NA	NA
TC05001154.hg.1	NA	NA	NA
TC05001155.hg.1	NA	NA	NA
TC05001157.hg.1	FAM173B	family with sequence similarity 173, member B	134145
TC05001158.hg.1	CMBL	carboxymethylenebutenolidase homolog (Pseudomonas)	134147
TC05001159.hg.1	NA	NA	NA
TC05001160.hg.1	ROPN1L-AS1	ROPN1L antisense RNA 1 (non-protein coding)	100505845
TC05001161.hg.1	NA	NA	NA
TC05001162.hg.1	NA	NA	NA
TC05001163.hg.1	NA	NA	NA
TC05001164.hg.1	DAP	death-associated protein	1611
TC05001165.hg.1	NA	NA	NA
TC05001166.hg.1	CTNND2	catenin (cadherin-associated protein), delta 2 (neural plakophilin-related arm-repeat protein)	1501
TC05001167.hg.1	NA	NA	NA
TC05001168.hg.1	NA	NA	NA
TC05001169.hg.1	NA	NA	NA
TC05001170.hg.1	NA	NA	NA
TC05001171.hg.1	DNAH5	dynein, axonemal, heavy chain 5	1767
TC05001172.hg.1	ANKH	ankylosis, progressive homolog (mouse)	56172
TC05001173.hg.1	MIR4637	microRNA 4637	100616271
TC05001174.hg.1	NA	NA	NA
TC05001175.hg.1	NA	NA	NA
TC05001176.hg.1	NA	NA	NA
TC05001177.hg.1	NA	NA	NA
TC05001178.hg.1	NA	NA	NA
TC05001179.hg.1	MARCH11	membrane-associated ring finger (C3HC4) 11	441061
TC05001180.hg.1	NA	NA	NA
TC05001181.hg.1	ZNF622	zinc finger protein 622	90441
TC05001182.hg.1	FAM134B	family with sequence similarity 134, member B	54463
TC05001183.hg.1	NA	NA	NA
TC05001184.hg.1	MYO10	myosin X	4651
TC05001185.hg.1	NA	NA	NA
TC05001186.hg.1	NA	NA	NA
TC05001187.hg.1	LOC285696	uncharacterized LOC285696	285696
TC05001188.hg.1	NA	NA	NA
TC05001189.hg.1	FTH1P3	ferritin, heavy polypeptide 1 pseudogene 3	2498
TC05001190.hg.1	NA	NA	NA
TC05001191.hg.1	LOC401177	uncharacterized LOC401177	401177
TC05001192.hg.1	NA	NA	NA
TC05001193.hg.1	NA	NA	NA
TC05001194.hg.1	NA	NA	NA
TC05001195.hg.1	CDH18	cadherin 18, type 2	1016
TC05001196.hg.1	NA	NA	NA
TC05001197.hg.1	NA	NA	NA
TC05001198.hg.1	NA	NA	NA
TC05001199.hg.1	NA	NA	NA
TC05001200.hg.1	CDH12	cadherin 12, type 2 (N-cadherin 2)	1010
TC05001201.hg.1	NA	NA	NA
TC05001202.hg.1	NA	NA	NA
TC05001203.hg.1	NA	NA	NA
TC05001204.hg.1	NA	NA	NA
TC05001205.hg.1	CDH10	cadherin 10, type 2 (T2-cadherin)	1008
TC05001206.hg.1	LOC340107	uncharacterized LOC340107	340107
TC05001207.hg.1	NA	NA	NA
TC05001208.hg.1	NA	NA	NA
TC05001209.hg.1	NA	NA	NA
TC05001210.hg.1	NA	NA	NA
TC05001211.hg.1	NA	NA	NA
TC05001212.hg.1	NA	NA	NA
TC05001213.hg.1	NA	NA	NA
TC05001214.hg.1	NA	NA	NA
TC05001215.hg.1	NA	NA	NA
TC05001216.hg.1	CDH9	cadherin 9, type 2 (T1-cadherin)	1007
TC05001217.hg.1	NA	NA	NA
TC05001218.hg.1	NA	NA	NA
TC05001219.hg.1	NA	NA	NA
TC05001220.hg.1	NA	NA	NA
TC05001221.hg.1	NA	NA	NA
TC05001222.hg.1	NA	NA	NA
TC05001223.hg.1	DROSHA	drosha, ribonuclease type III	29102
TC05001224.hg.1	NA	NA	NA
TC05001225.hg.1	NA	NA	NA
TC05001226.hg.1	NA	NA	NA
TC05001227.hg.1	NA	NA	NA
TC05001228.hg.1	NA	NA	NA
TC05001229.hg.1	NA	NA	NA
TC05001230.hg.1	MIR4279	microRNA 4279	100422874
TC05001231.hg.1	NA	NA	NA
TC05001232.hg.1	GOLPH3	golgi phosphoprotein 3 (coat-protein)	64083
TC05001233.hg.1	MTMR12	myotubularin related protein 12	54545
TC05001234.hg.1	NA	NA	NA
TC05001235.hg.1	ZFR	zinc finger RNA binding protein	51663
TC05001236.hg.1	MIR579	microRNA 579	693164
TC05001237.hg.1	NA	NA	NA
TC05001238.hg.1	NA	NA	NA
TC05001239.hg.1	NA	NA	NA
TC05001240.hg.1	NA	NA	NA
TC05001241.hg.1	NA	NA	NA
TC05001242.hg.1	NA	NA	NA
TC05001243.hg.1	ADAMTS12	ADAM metallopeptidase with thrombospondin type 1 motif, 12	81792
TC05001244.hg.1	NA	NA	NA
TC05001245.hg.1	SLC45A2	solute carrier family 45, member 2	51151
TC05001247.hg.1	NA	NA	NA
TC05001248.hg.1	NA	NA	NA
TC05001249.hg.1	NA	NA	NA
TC05001250.hg.1	NA	NA	NA
TC05001251.hg.1	NA	NA	NA
TC05001252.hg.1	NA	NA	NA
TC05001253.hg.1	NA	NA	NA
TC05001254.hg.1	NA	NA	NA
TC05001255.hg.1	NA	NA	NA
TC05001256.hg.1	NA	NA	NA
TC05001257.hg.1	NA	NA	NA
TC05001258.hg.1	NA	NA	NA
TC05001259.hg.1	RAD1	RAD1 homolog (S. pombe)	5810
TC05001260.hg.1	AGXT2	alanine--glyoxylate aminotransferase 2	64902
TC05001261.hg.1	PRLR	prolactin receptor	5618
TC05001262.hg.1	NA	NA	NA
TC05001263.hg.1	NA	NA	NA
TC05001264.hg.1	NA	NA	NA
TC05001265.hg.1	CAPSL	calcyphosine-like	133690
TC05001266.hg.1	UGT3A1	UDP glycosyltransferase 3 family, polypeptide A1	133688
TC05001267.hg.1	UGT3A2	UDP glycosyltransferase 3 family, polypeptide A2	167127
TC05001268.hg.1	LMBRD2	LMBR1 domain containing 2	92255
TC05001269.hg.1	MIR580	microRNA 580	693165
TC05001270.hg.1	NADKD1	NAD kinase domain containing 1	133686
TC05001271.hg.1	RANBP3L	RAN binding protein 3-like	202151
TC05001272.hg.1	NA	NA	NA
TC05001273.hg.1	NA	NA	NA
TC05001274.hg.1	C5orf42	chromosome 5 open reading frame 42	65250
TC05001275.hg.1	NUP155	nucleoporin 155kDa	9631
TC05001277.hg.1	NA	NA	NA
TC05001278.hg.1	NA	NA	NA
TC05001279.hg.1	NA	NA	NA
TC05001280.hg.1	GDNF	glial cell derived neurotrophic factor	2668
TC05001281.hg.1	NA	NA	NA
TC05001282.hg.1	NA	NA	NA
TC05001283.hg.1	NA	NA	NA
TC05001284.hg.1	NA	NA	NA
TC05001285.hg.1	NA	NA	NA
TC05001286.hg.1	NA	NA	NA
TC05001287.hg.1	NA	NA	NA
TC05001288.hg.1	NA	NA	NA
TC05001289.hg.1	LIFR	leukemia inhibitory factor receptor alpha	3977
TC05001290.hg.1	MIR3650	microRNA 3650	100500824
TC05001291.hg.1	NA	NA	NA
TC05001292.hg.1	NA	NA	NA
TC05001293.hg.1	NA	NA	NA
TC05001294.hg.1	RICTOR	RPTOR independent companion of MTOR, complex 2	253260
TC05001295.hg.1	FYB	FYN binding protein	2533
TC05001297.hg.1	TTC33	tetratricopeptide repeat domain 33	23548
TC05001298.hg.1	PRKAA1	protein kinase, AMP-activated, alpha 1 catalytic subunit	5562
TC05001299.hg.1	NA	NA	NA
TC05001300.hg.1	NA	NA	NA
TC05001301.hg.1	SNORD72	small nucleolar RNA, C/D box 72	619564
TC05001302.hg.1	NA	NA	NA
TC05001303.hg.1	HEATR7B2	HEAT repeat family member 7B2	133558
TC05001304.hg.1	C6	complement component 6	729
TC05001305.hg.1	NA	NA	NA
TC05001306.hg.1	PLCXD3	phosphatidylinositol-specific phospholipase C, X domain containing 3	345557
TC05001307.hg.1	OXCT1	3-oxoacid CoA transferase 1	5019
TC05001308.hg.1	NA	NA	NA
TC05001309.hg.1	NA	NA	NA
TC05001310.hg.1	SEPP1	selenoprotein P, plasma, 1	6414
TC05001311.hg.1	NA	NA	NA
TC05001312.hg.1	LOC648987	uncharacterized LOC648987	648987
TC05001313.hg.1	C5orf39	chromosome 5 open reading frame 39	389289
TC05001314.hg.1	NA	NA	NA
TC05001315.hg.1	LOC100132356	uncharacterized LOC100132356	100132356
TC05001316.hg.1	HMGCS1	3-hydroxy-3-methylglutaryl-CoA synthase 1 (soluble)	3157
TC05001317.hg.1	CCL28	chemokine (C-C motif) ligand 28	56477
TC05001318.hg.1	C5orf28	chromosome 5 open reading frame 28	64417
TC05001319.hg.1	C5orf34	chromosome 5 open reading frame 34	375444
TC05001320.hg.1	PAIP1	poly(A) binding protein interacting protein 1	10605
TC05001321.hg.1	LOC100652772	uncharacterized LOC100652772	100652772
TC05001322.hg.1	NA	NA	NA
TC05001323.hg.1	NA	NA	NA
TC05001324.hg.1	FGF10	fibroblast growth factor 10	2255
TC05001325.hg.1	NA	NA	NA
TC05001326.hg.1	NA	NA	NA
TC05001327.hg.1	LOC100506674	uncharacterized LOC100506674	100506674
TC05001328.hg.1	NA	NA	NA
TC05001329.hg.1	HCN1	hyperpolarization activated cyclic nucleotide-gated potassium channel 1	348980
TC05001330.hg.1	NA	NA	NA
TC05001331.hg.1	EMB	embigin	133418
TC05001333.hg.1	NA	NA	NA
TC05001334.hg.1	NA	NA	NA
TC05001335.hg.1	NA	NA	NA
TC05001336.hg.1	LOC100287592	uncharacterized LOC100287592	100287592
TC05001337.hg.1	NA	NA	NA
TC05001338.hg.1	NA	NA	NA
TC05001339.hg.1	LOC642366	uncharacterized LOC642366	642366
TC05001340.hg.1	NA	NA	NA
TC05001341.hg.1	NA	NA	NA
TC05001342.hg.1	MOCS2	molybdenum cofactor synthesis 2	4338
TC05001343.hg.1	NA	NA	NA
TC05001344.hg.1	NA	NA	NA
TC05001345.hg.1	ARL15	ADP-ribosylation factor-like 15	54622
TC05001346.hg.1	NA	NA	NA
TC05001347.hg.1	MIR581	microRNA 581	693166
TC05001348.hg.1	NA	NA	NA
TC05001349.hg.1	NA	NA	NA
TC05001350.hg.1	NA	NA	NA
TC05001351.hg.1	NA	NA	NA
TC05001352.hg.1	ESM1	endothelial cell-specific molecule 1	11082
TC05001353.hg.1	NA	NA	NA
TC05001354.hg.1	CDC20B	cell division cycle 20 homolog B (S. cerevisiae)	166979
TC05001356.hg.1	MIR449A	microRNA 449a	554213
TC05001357.hg.1	MIR449B	microRNA 449b	693123
TC05001358.hg.1	MIR449C	microRNA 449c	100313923
TC05001359.hg.1	NA	NA	NA
TC05001360.hg.1	IDAS	Idas protein	345643
TC05001361.hg.1	CCNO	cyclin O	10309
TC05001362.hg.1	DHX29	DEAH (Asp-Glu-Ala-His) box polypeptide 29	54505
TC05001363.hg.1	PPAP2A	phosphatidic acid phosphatase type 2A	8611
TC05001364.hg.1	RNF138P1	ring finger protein 138 pseudogene 1	379013
TC05001365.hg.1	SLC38A9	solute carrier family 38, member 9	153129
TC05001366.hg.1	IL6ST	interleukin 6 signal transducer (gp130, oncostatin M receptor)	3572
TC05001367.hg.1	NA	NA	NA
TC05001368.hg.1	NA	NA	NA
TC05001369.hg.1	ANKRD55	ankyrin repeat domain 55	79722
TC05001370.hg.1	NA	NA	NA
TC05001371.hg.1	NA	NA	NA
TC05001372.hg.1	NA	NA	NA
TC05001373.hg.1	NA	NA	NA
TC05001374.hg.1	NA	NA	NA
TC05001375.hg.1	NA	NA	NA
TC05001376.hg.1	NA	NA	NA
TC05001377.hg.1	NA	NA	NA
TC05001378.hg.1	NA	NA	NA
TC05001379.hg.1	MIER3	mesoderm induction early response 1, family member 3	166968
TC05001380.hg.1	NA	NA	NA
TC05001381.hg.1	ACTBL2	actin, beta-like 2	345651
TC05001382.hg.1	NA	NA	NA
TC05001383.hg.1	NA	NA	NA
TC05001384.hg.1	NA	NA	NA
TC05001385.hg.1	PLK2	polo-like kinase 2	10769
TC05001386.hg.1	NA	NA	NA
TC05001387.hg.1	NA	NA	NA
TC05001388.hg.1	NA	NA	NA
TC05001389.hg.1	PDE4D	phosphodiesterase 4D, cAMP-specific	5144
TC05001390.hg.1	MIR582	microRNA 582	693167
TC05001391.hg.1	NA	NA	NA
TC05001392.hg.1	DEPDC1B	DEP domain containing 1B	55789
TC05001393.hg.1	ELOVL7	ELOVL fatty acid elongase 7	79993
TC05001394.hg.1	ERCC8	excision repair cross-complementing rodent repair deficiency, complementation group 8	1161
TC05001395.hg.1	C5orf43	chromosome 5 open reading frame 43	643155
TC05001396.hg.1	NA	NA	NA
TC05001397.hg.1	NA	NA	NA
TC05001398.hg.1	NA	NA	NA
TC05001399.hg.1	NA	NA	NA
TC05001400.hg.1	LOC100506526	uncharacterized LOC100506526	100506526
TC05001401.hg.1	DIMT1	DIM1 dimethyladenosine transferase 1 homolog (S. cerevisiae)	27292
TC05001402.hg.1	NA	NA	NA
TC05001403.hg.1	NA	NA	NA
TC05001404.hg.1	HTR1A	5-hydroxytryptamine (serotonin) receptor 1A	3350
TC05001405.hg.1	SREK1IP1	SREK1-interacting protein 1	285672
TC05001406.hg.1	ADAMTS6	ADAM metallopeptidase with thrombospondin type 1 motif, 6	11174
TC05001407.hg.1	NA	NA	NA
TC05001408.hg.1	CENPK	centromere protein K	64105
TC05001409.hg.1	TRIM23	tripartite motif containing 23	373
TC05001410.hg.1	NA	NA	NA
TC05001411.hg.1	SGTB	small glutamine-rich tetratricopeptide repeat (TPR)-containing, beta	54557
TC05001412.hg.1	LOC100303749	LSM3 homolog, U6 small nuclear RNA associated (S. cerevisiae) pseudogene	100303749
TC05001413.hg.1	NA	NA	NA
TC05001414.hg.1	NA	NA	NA
TC05001415.hg.1	NA	NA	NA
TC05001416.hg.1	NA	NA	NA
TC05001417.hg.1	NA	NA	NA
TC05001418.hg.1	NA	NA	NA
TC05001419.hg.1	CD180	CD180 molecule	4064
TC05001420.hg.1	NA	NA	NA
TC05001421.hg.1	NA	NA	NA
TC05001422.hg.1	NA	NA	NA
TC05001423.hg.1	NA	NA	NA
TC05001424.hg.1	NA	NA	NA
TC05001425.hg.1	NA	NA	NA
TC05001426.hg.1	NA	NA	NA
TC05001427.hg.1	NA	NA	NA
TC05001429.hg.1	NA	NA	NA
TC05001430.hg.1	NA	NA	NA
TC05001431.hg.1	NA	NA	NA
TC05001432.hg.1	NA	NA	NA
TC05001433.hg.1	NA	NA	NA
TC05001434.hg.1	NA	NA	NA
TC05001435.hg.1	NA	NA	NA
TC05001436.hg.1	NA	NA	NA
TC05001437.hg.1	CCDC125	coiled-coil domain containing 125	202243
TC05001438.hg.1	TAF9	TAF9 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 32kDa	6880
TC05001439.hg.1	NA	NA	NA
TC05001440.hg.1	NA	NA	NA
TC05001441.hg.1	NA	NA	NA
TC05001443.hg.1	LOC100272216	uncharacterized LOC100272216	100272216
TC05001444.hg.1	NA	NA	NA
TC05001445.hg.1	NA	NA	NA
TC05001446.hg.1	NA	NA	NA
TC05001447.hg.1	NA	NA	NA
TC05001448.hg.1	NA	NA	NA
TC05001449.hg.1	NA	NA	NA
TC05001450.hg.1	NA	NA	NA
TC05001451.hg.1	NA	NA	NA
TC05001452.hg.1	NA	NA	NA
TC05001453.hg.1	NA	NA	NA
TC05001454.hg.1	NA	NA	NA
TC05001455.hg.1	NA	NA	NA
TC05001456.hg.1	NA	NA	NA
TC05001457.hg.1	NA	NA	NA
TC05001458.hg.1	LOC647859	occludin pseudogene	647859
TC05001459.hg.1	GUSBP9	glucuronidase, beta pseudogene 9	100049076
TC05001460.hg.1	NA	NA	NA
TC05001461.hg.1	NA	NA	NA
TC05001462.hg.1	NA	NA	NA
TC05001463.hg.1	MRPS27	mitochondrial ribosomal protein S27	23107
TC05001464.hg.1	ZNF366	zinc finger protein 366	167465
TC05001465.hg.1	NA	NA	NA
TC05001466.hg.1	NA	NA	NA
TC05001467.hg.1	NA	NA	NA
TC05001468.hg.1	NA	NA	NA
TC05001469.hg.1	NA	NA	NA
TC05001470.hg.1	FOXD1	forkhead box D1	2297
TC05001471.hg.1	NA	NA	NA
TC05001472.hg.1	ANKRA2	ankyrin repeat, family A (RFXANK-like), 2	57763
TC05001473.hg.1	NA	NA	NA
TC05001474.hg.1	NA	NA	NA
TC05001475.hg.1	NA	NA	NA
TC05001476.hg.1	NA	NA	NA
TC05001477.hg.1	NA	NA	NA
TC05001478.hg.1	NA	NA	NA
TC05001479.hg.1	NA	NA	NA
TC05001480.hg.1	NA	NA	NA
TC05001481.hg.1	ENC1	ectodermal-neural cortex 1 (with BTB-like domain)	8507
TC05001482.hg.1	GFM2	G elongation factor, mitochondrial 2	84340
TC05001483.hg.1	NA	NA	NA
TC05001484.hg.1	FAM169A	family with sequence similarity 169, member A	26049
TC05001485.hg.1	NA	NA	NA
TC05001486.hg.1	NA	NA	NA
TC05001487.hg.1	GCNT4	glucosaminyl (N-acetyl) transferase 4, core 2	51301
TC05001488.hg.1	NA	NA	NA
TC05001489.hg.1	ANKRD31	ankyrin repeat domain 31	256006
TC05001490.hg.1	NA	NA	NA
TC05001491.hg.1	COL4A3BP	collagen, type IV, alpha 3 (Goodpasture antigen) binding protein	10087
TC05001492.hg.1	NA	NA	NA
TC05001493.hg.1	NA	NA	NA
TC05001494.hg.1	POC5	POC5 centriolar protein homolog (Chlamydomonas)	134359
TC05001495.hg.1	NA	NA	NA
TC05001496.hg.1	NA	NA	NA
TC05001497.hg.1	NA	NA	NA
TC05001498.hg.1	NA	NA	NA
TC05001499.hg.1	NA	NA	NA
TC05001501.hg.1	NA	NA	NA
TC05001502.hg.1	F2RL2	coagulation factor II (thrombin) receptor-like 2	2151
TC05001503.hg.1	NA	NA	NA
TC05001504.hg.1	ZBED3	zinc finger, BED-type containing 3	84327
TC05001505.hg.1	SNORA47	small nucleolar RNA, H/ACA box 47	677828
TC05001507.hg.1	WDR41	WD repeat domain 41	55255
TC05001509.hg.1	OTP	orthopedia homeobox	23440
TC05001510.hg.1	TBCA	tubulin folding cofactor A	6902
TC05001511.hg.1	NA	NA	NA
TC05001512.hg.1	NA	NA	NA
TC05001513.hg.1	AP3B1	adaptor-related protein complex 3, beta 1 subunit	8546
TC05001514.hg.1	NA	NA	NA
TC05001515.hg.1	NA	NA	NA
TC05001516.hg.1	NA	NA	NA
TC05001517.hg.1	LOC728769	uncharacterized LOC728769	728769
TC05001518.hg.1	LHFPL2	lipoma HMGIC fusion partner-like 2	10184
TC05001519.hg.1	ARSB	arylsulfatase B	411
TC05001520.hg.1	DMGDH	dimethylglycine dehydrogenase	29958
TC05001521.hg.1	NA	NA	NA
TC05001522.hg.1	HOMER1	homer homolog 1 (Drosophila)	9456
TC05001523.hg.1	NA	NA	NA
TC05001524.hg.1	MTX3	metaxin 3	345778
TC05001525.hg.1	NA	NA	NA
TC05001526.hg.1	NA	NA	NA
TC05001527.hg.1	SERINC5	serine incorporator 5	256987
TC05001528.hg.1	NA	NA	NA
TC05001529.hg.1	LOC644936	actin, beta pseudogene	644936
TC05001530.hg.1	NA	NA	NA
TC05001531.hg.1	NA	NA	NA
TC05001532.hg.1	CRSP8P	mediator complex subunit 27 pseudogene	441089
TC05001533.hg.1	NA	NA	NA
TC05001534.hg.1	NA	NA	NA
TC05001535.hg.1	NA	NA	NA
TC05001536.hg.1	ANKRD34B	ankyrin repeat domain 34B	340120
TC05001537.hg.1	NA	NA	NA
TC05001538.hg.1	DHFR	dihydrofolate reductase	1719
TC05001539.hg.1	NA	NA	NA
TC05001540.hg.1	MTRNR2L2	MT-RNR2-like 2	100462981
TC05001541.hg.1	NA	NA	NA
TC05001542.hg.1	NA	NA	NA
TC05001543.hg.1	LOC100131067	uncharacterized LOC100131067	100131067
TC05001544.hg.1	ACOT12	acyl-CoA thioesterase 12	134526
TC05001545.hg.1	SSBP2	single-stranded DNA binding protein 2	23635
TC05001546.hg.1	NA	NA	NA
TC05001547.hg.1	RPS23	ribosomal protein S23	6228
TC05001548.hg.1	NA	NA	NA
TC05001549.hg.1	NA	NA	NA
TC05001550.hg.1	NA	NA	NA
TC05001551.hg.1	NA	NA	NA
TC05001552.hg.1	NA	NA	NA
TC05001553.hg.1	TMEM167A	transmembrane protein 167A	153339
TC05001554.hg.1	SCARNA18	small Cajal body-specific RNA 18	677765
TC05001555.hg.1	NA	NA	NA
TC05001556.hg.1	NA	NA	NA
TC05001557.hg.1	HAPLN1	hyaluronan and proteoglycan link protein 1	1404
TC05001558.hg.1	EDIL3	EGF-like repeats and discoidin I-like domains 3	10085
TC05001559.hg.1	NA	NA	NA
TC05001560.hg.1	NA	NA	NA
TC05001561.hg.1	NA	NA	NA
TC05001562.hg.1	NA	NA	NA
TC05001563.hg.1	NA	NA	NA
TC05001564.hg.1	NA	NA	NA
TC05001565.hg.1	NA	NA	NA
TC05001566.hg.1	NA	NA	NA
TC05001567.hg.1	MIR4280	microRNA 4280	100422887
TC05001568.hg.1	NA	NA	NA
TC05001569.hg.1	NA	NA	NA
TC05001570.hg.1	CCNH	cyclin H	902
TC05001571.hg.1	NA	NA	NA
TC05001572.hg.1	NA	NA	NA
TC05001573.hg.1	TMEM161B	transmembrane protein 161B	153396
TC05001574.hg.1	NA	NA	NA
TC05001575.hg.1	NA	NA	NA
TC05001576.hg.1	NA	NA	NA
TC05001577.hg.1	NA	NA	NA
TC05001578.hg.1	NA	NA	NA
TC05001579.hg.1	MEF2C	myocyte enhancer factor 2C	4208
TC05001580.hg.1	NA	NA	NA
TC05001581.hg.1	MIR3660	microRNA 3660	100500825
TC05001582.hg.1	NA	NA	NA
TC05001583.hg.1	NA	NA	NA
TC05001584.hg.1	CETN3	centrin, EF-hand protein, 3	1070
TC05001585.hg.1	MBLAC2	metallo-beta-lactamase domain containing 2	153364
TC05001586.hg.1	LYSMD3	LysM, putative peptidoglycan-binding, domain containing 3	116068
TC05001587.hg.1	NA	NA	NA
TC05001588.hg.1	LOC729040	uncharacterized LOC729040	729040
TC05001589.hg.1	LOC100505994	uncharacterized LOC100505994	100505994
TC05001590.hg.1	ARRDC3	arrestin domain containing 3	57561
TC05001591.hg.1	NA	NA	NA
TC05001592.hg.1	NA	NA	NA
TC05001593.hg.1	NA	NA	NA
TC05001594.hg.1	NA	NA	NA
TC05001595.hg.1	LOC100505822	uncharacterized LOC100505822	100505822
TC05001596.hg.1	FLJ42709	uncharacterized LOC441094	441094
TC05001597.hg.1	NA	NA	NA
TC05001598.hg.1	NA	NA	NA
TC05001599.hg.1	POU5F2	POU domain class 5, transcription factor 2	134187
TC05001600.hg.1	NA	NA	NA
TC05001601.hg.1	KIAA0825	KIAA0825	285600
TC05001603.hg.1	NA	NA	NA
TC05001604.hg.1	MCTP1	multiple C2 domains, transmembrane 1	79772
TC05001605.hg.1	TTC37	tetratricopeptide repeat domain 37	9652
TC05001606.hg.1	SPATA9	spermatogenesis associated 9	83890
TC05001607.hg.1	NA	NA	NA
TC05001608.hg.1	GLRX	glutaredoxin (thioltransferase)	2745
TC05001609.hg.1	NA	NA	NA
TC05001610.hg.1	ELL2	elongation factor, RNA polymerase II, 2	22936
